parcl_id,date,rental_units,total_units,pct_rental_concentration,property_type
5824644,2024-07-01,71045,326001,21.79,ALL_PROPERTIES
5824644,2024-06-01,71042,325868,21.8,ALL_PROPERTIES
5824644,2024-05-01,71032,325691,21.81,ALL_PROPERTIES
5824644,2024-04-01,71017,325525,21.82,ALL_PROPERTIES
5824644,2024-03-01,70993,325352,21.82,ALL_PROPERTIES
5824644,2024-02-01,70981,325208,21.83,ALL_PROPERTIES
5824644,2024-01-01,70965,325084,21.83,ALL_PROPERTIES
5824644,2023-12-01,70957,325010,21.83,ALL_PROPERTIES
5824644,2023-11-01,70951,324920,21.84,ALL_PROPERTIES
5824644,2023-10-01,70939,324835,21.84,ALL_PROPERTIES
5824644,2023-09-01,70887,324650,21.83,ALL_PROPERTIES
5824644,2023-08-01,70881,324586,21.84,ALL_PROPERTIES
5824644,2023-07-01,70875,324521,21.84,ALL_PROPERTIES
5824644,2023-06-01,70864,324435,21.84,ALL_PROPERTIES
5824644,2023-05-01,70841,324281,21.85,ALL_PROPERTIES
5824644,2023-04-01,70790,324054,21.85,ALL_PROPERTIES
5824640,2024-07-01,1955,22578,8.66,ALL_PROPERTIES
5824640,2024-06-01,1955,22573,8.66,ALL_PROPERTIES
5824640,2024-05-01,1955,22571,8.66,ALL_PROPERTIES
5824640,2024-04-01,1955,22568,8.66,ALL_PROPERTIES
5824640,2024-03-01,1954,22566,8.66,ALL_PROPERTIES
5824640,2024-02-01,1954,22562,8.66,ALL_PROPERTIES
5824640,2024-01-01,1954,22561,8.66,ALL_PROPERTIES
5824640,2023-12-01,1954,22558,8.66,ALL_PROPERTIES
5824640,2023-11-01,1954,22557,8.66,ALL_PROPERTIES
5824640,2023-10-01,1954,22555,8.66,ALL_PROPERTIES
5824640,2023-09-01,1954,22550,8.67,ALL_PROPERTIES
5824640,2023-08-01,1953,22548,8.66,ALL_PROPERTIES
5824640,2023-07-01,1952,22540,8.66,ALL_PROPERTIES
5824640,2023-06-01,1952,22540,8.66,ALL_PROPERTIES
5824640,2023-05-01,1952,22539,8.66,ALL_PROPERTIES
5824640,2023-04-01,1952,22537,8.66,ALL_PROPERTIES
5824634,2024-07-01,433,33194,1.3,ALL_PROPERTIES
5824634,2024-06-01,433,33193,1.3,ALL_PROPERTIES
5824634,2024-05-01,433,33192,1.3,ALL_PROPERTIES
5824634,2024-04-01,433,33192,1.3,ALL_PROPERTIES
5824634,2024-03-01,433,33191,1.3,ALL_PROPERTIES
5824634,2024-02-01,433,33189,1.3,ALL_PROPERTIES
5824634,2024-01-01,433,33188,1.3,ALL_PROPERTIES
5824634,2023-12-01,433,33187,1.3,ALL_PROPERTIES
5824634,2023-11-01,433,33187,1.3,ALL_PROPERTIES
5824634,2023-10-01,433,33185,1.3,ALL_PROPERTIES
5824634,2023-09-01,433,33185,1.3,ALL_PROPERTIES
5824634,2023-08-01,433,33183,1.3,ALL_PROPERTIES
5824634,2023-07-01,432,33179,1.3,ALL_PROPERTIES
5824634,2023-06-01,432,33179,1.3,ALL_PROPERTIES
5824634,2023-05-01,432,33177,1.3,ALL_PROPERTIES
5824634,2023-04-01,432,33176,1.3,ALL_PROPERTIES
5824632,2024-07-01,8049,79589,10.11,ALL_PROPERTIES
5824632,2024-06-01,8042,79559,10.11,ALL_PROPERTIES
5824632,2024-05-01,8036,79524,10.11,ALL_PROPERTIES
5824632,2024-04-01,8021,79484,10.09,ALL_PROPERTIES
5824632,2024-03-01,8005,79450,10.08,ALL_PROPERTIES
5824632,2024-02-01,7994,79330,10.08,ALL_PROPERTIES
