parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
5821714,USA,06037,06,Los Angeles County,CA,PACIFIC,COUNTY,9936690,83411.0,0,1,0,0
5822729,USA,17031,17,Cook County,IL,EAST_NORTH_CENTRAL,COUNTY,5225367,78304.0,0,0,0,0
5821868,USA,48201,48,Harris County,TX,WEST_SOUTH_CENTRAL,COUNTY,4726177,70789.0,0,0,0,0
5823191,USA,04013,04,Maricopa County,AZ,MOUNTAIN,COUNTY,4430871,80675.0,0,0,0,0
5822624,USA,06073,06,San Diego County,CA,PACIFIC,COUNTY,3289701,96974.0,0,0,0,0
5822590,USA,06059,06,Orange County,CA,PACIFIC,COUNTY,3175227,109361.0,0,0,0,0
5821687,USA,12086,12,Miami-Dade County,FL,SOUTH_ATLANTIC,COUNTY,2688237,64215.0,0,0,0,0
5822447,USA,36047,36,Kings County,NY,MIDDLE_ATLANTIC,COUNTY,2679620,74692.0,1,1,0,0
5822536,USA,48113,48,Dallas County,TX,WEST_SOUTH_CENTRAL,COUNTY,2604053,70732.0,0,0,0,0
5822175,USA,06065,06,Riverside County,CA,PACIFIC,COUNTY,2429487,84505.0,0,0,0,0
5822371,USA,36081,36,Queens County,NY,MIDDLE_ATLANTIC,COUNTY,2360826,82431.0,0,0,0,0
5821049,USA,32003,32,Clark County,NV,MOUNTAIN,COUNTY,2265926,69911.0,0,0,0,0
5823597,USA,53033,53,King County,WA,PACIFIC,COUNTY,2254371,116340.0,0,0,0,0
5820727,USA,06071,06,San Bernardino County,CA,PACIFIC,COUNTY,2180563,77423.0,0,0,0,0
5821906,USA,48439,48,Tarrant County,TX,WEST_SOUTH_CENTRAL,COUNTY,2113854,78872.0,0,0,0,0
5822701,USA,48029,48,Bexar County,TX,WEST_SOUTH_CENTRAL,COUNTY,2014059,67275.0,0,0,0,0
5821600,USA,12011,12,Broward County,FL,SOUTH_ATLANTIC,COUNTY,1940907,70331.0,0,1,0,0
5823521,USA,06085,06,Santa Clara County,CA,PACIFIC,COUNTY,1916831,153792.0,0,0,0,0
