parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
5352987,USA,1245000,12,Miami City,FL,SOUTH_ATLANTIC,CITY,443665,54858.0,1,1,0,0
5377230,USA,3240000,32,Las Vegas City,NV,MOUNTAIN,CITY,644835,66356.0,1,1,0,0
5372594,USA,3651000,36,New York City,NY,MIDDLE_ATLANTIC,CITY,8622467,76607.0,1,1,0,0
5822447,USA,36047,36,Kings County,NY,MIDDLE_ATLANTIC,COUNTY,2679620,74692.0,1,1,0,0
5306725,USA,0820000,08,Denver City,CO,MOUNTAIN,CITY,710800,85853.0,1,1,0,0
5374321,USA,0667000,06,San Francisco City,CA,PACIFIC,CITY,851036,136689.0,1,1,0,0
5826765,USA,,,United States Of America,,,COUNTRY,331097593,75149.0,1,1,0,0
5353022,USA,1245025,12,Miami Beach City,FL,SOUTH_ATLANTIC,CITY,82400,65116.0,1,1,0,0
5387853,USA,1714000,17,Chicago City,IL,EAST_NORTH_CENTRAL,CITY,2721914,71673.0,1,1,0,0
5503877,USA,1150000,11,Washington City,DC,SOUTH_ATLANTIC,CITY,670587,101722.0,1,1,0,0
5407714,USA,2507000,25,Boston City,MA,NEW_ENGLAND,CITY,665945,89212.0,1,1,0,0
5384169,USA,1304000,13,Atlanta City,GA,SOUTH_ATLANTIC,CITY,494838,77655.0,1,1,0,0
5380879,USA,4805000,48,Austin City,TX,WEST_SOUTH_CENTRAL,CITY,958202,86556.0,1,1,0,0
5373892,USA,0644000,06,Los Angeles City,CA,PACIFIC,CITY,3881041,76244.0,1,1,0,0
5374167,USA,0666000,06,San Diego City,CA,PACIFIC,CITY,1383987,98657.0,1,1,0,0
5493876,USA,2046525,20,Milford City,KS,WEST_NORTH_CENTRAL,CITY,316,71000.0,0,0,0,0
5289591,USA,1883222,18,West Point Cdp,IN,EAST_NORTH_CENTRAL,CDP,246,117986.0,0,0,0,0
5542808,USA,,40,74755,OK,WEST_SOUTH_CENTRAL,ZIP5,105,,0,0,0,0
5495338,USA,,47,37765,TN,EAST_SOUTH_CENTRAL,ZIP5,734,46250.0,0,0,0,0
5595262,USA,,29,64849,MO,WEST_NORTH_CENTRAL,ZIP5,196,53750.0,0,0,0,0
5377519,USA,4282344,42,Wesleyville Borough,PA,MIDDLE_ATLANTIC,PLACE,3209,44417.0,0,0,0,0
5310901,USA,,09,06610,CT,NEW_ENGLAND,ZIP5,22165,49396.0,0,0,0,0
5595731,USA,,29,63013,MO,WEST_NORTH_CENTRAL,ZIP5,1191,103000.0,0,0,0,0
5473811,USA,,51,22737,VA,SOUTH_ATLANTIC,ZIP5,3307,94548.0,0,0,0,0
5823082,USA,28057,28,Itawamba County,MS,EAST_SOUTH_CENTRAL,COUNTY,23888,57252.0,0,0,0,0
5596413,USA,,30,59825,MT,MOUNTAIN,ZIP5,2229,81813.0,0,0,0,0
5290403,USA,3708080,37,Broadway Town,NC,SOUTH_ATLANTIC,TOWN,1415,63333.0,0,0,0,0
5452435,USA,,53,98588,WA,PACIFIC,ZIP5,1564,56122.0,0,0,0,0
5431780,USA,,23,04612,ME,NEW_ENGLAND,ZIP5,490,81875.0,0,0,0,0
