Common Name,Official MSA Name,parcl_id,date,rolling_7_day,rolling_30_day,rolling_60_day,rolling_90_day
New York,New York-Newark-Jersey City,2900187,2024-04-08,4320,15666,30990,45132
New York,New York-Newark-Jersey City,2900187,2024-04-01,2991,15200,30626,44186
New York,New York-Newark-Jersey City,2900187,2024-03-25,3707,15942,30476,42364
New York,New York-Newark-Jersey City,2900187,2024-03-18,4119,15387,29681,39754
New York,New York-Newark-Jersey City,2900187,2024-03-11,3839,14622,28911,37664
New York,New York-Newark-Jersey City,2900187,2024-03-04,3829,14560,28254,36236
New York,New York-Newark-Jersey City,2900187,2024-02-26,3167,13903,26482,35184
New York,New York-Newark-Jersey City,2900187,2024-02-19,3398,13694,24335,33671
New York,New York-Newark-Jersey City,2900187,2024-02-12,3697,13627,22728,33173
New York,New York-Newark-Jersey City,2900187,2024-02-05,3293,13004,21319,32849
New York,New York-Newark-Jersey City,2900187,2024-01-29,2907,12502,20688,32707
New York,New York-Newark-Jersey City,2900187,2024-01-22,3328,10565,19706,33953
New York,New York-Newark-Jersey City,2900187,2024-01-15,3093,8673,18847,34569
New York,New York-Newark-Jersey City,2900187,2024-01-08,3012,7880,19054,35120
New York,New York-Newark-Jersey City,2900187,2024-01-01,1006,7245,19334,35997
New York,New York-Newark-Jersey City,2900187,2023-12-25,1303,8973,22537,38842
New York,New York-Newark-Jersey City,2900187,2023-12-18,2229,9386,24461,41150
New York,New York-Newark-Jersey City,2900187,2023-12-11,2336,10366,26388,42838
New York,New York-Newark-Jersey City,2900187,2023-12-04,2904,11262,27451,45215
New York,New York-Newark-Jersey City,2900187,2023-11-27,1521,11427,28805,44942
New York,New York-Newark-Jersey City,2900187,2023-11-20,3238,14101,30912,46476
New York,New York-Newark-Jersey City,2900187,2023-11-13,3147,14969,31435,46836
New York,New York-Newark-Jersey City,2900187,2023-11-06,3128,15280,32597,47176
New York,New York-Newark-Jersey City,2900187,2023-10-30,4142,16216,32945,47947
New York,New York-Newark-Jersey City,2900187,2023-10-23,4054,15852,31782,47384
New York,New York-Newark-Jersey City,2900187,2023-10-16,3494,15529,31112,47331
New York,New York-Newark-Jersey City,2900187,2023-10-09,4030,16013,31188,47815
New York,New York-Newark-Jersey City,2900187,2023-10-02,3761,16116,30874,47748
