Common Name,Official MSA Name,parcl_id,date,pct_gross_yield_single_family,investor_purchase_to_sale_ratio_all_properties
New York,New York-Newark-Jersey City,2900187,2024-01-01,5.83,1.55
New York,New York-Newark-Jersey City,2900187,2023-12-01,6.28,1.52
New York,New York-Newark-Jersey City,2900187,2023-11-01,6.18,1.41
New York,New York-Newark-Jersey City,2900187,2023-10-01,5.66,1.54
New York,New York-Newark-Jersey City,2900187,2023-09-01,5.84,1.4
New York,New York-Newark-Jersey City,2900187,2023-08-01,6.47,1.49
New York,New York-Newark-Jersey City,2900187,2023-07-01,6.46,1.47
New York,New York-Newark-Jersey City,2900187,2023-06-01,6.37,1.45
New York,New York-Newark-Jersey City,2900187,2023-05-01,6.0,1.41
New York,New York-Newark-Jersey City,2900187,2023-04-01,5.96,1.56
New York,New York-Newark-Jersey City,2900187,2023-03-01,6.05,1.46
New York,New York-Newark-Jersey City,2900187,2023-02-01,5.92,1.54
New York,New York-Newark-Jersey City,2900187,2023-01-01,6.2,1.53
New York,New York-Newark-Jersey City,2900187,2022-12-01,6.97,1.4
New York,New York-Newark-Jersey City,2900187,2022-11-01,6.53,1.54
New York,New York-Newark-Jersey City,2900187,2022-10-01,6.2,1.4
New York,New York-Newark-Jersey City,2900187,2022-09-01,6.46,1.39
New York,New York-Newark-Jersey City,2900187,2022-08-01,7.0,1.52
New York,New York-Newark-Jersey City,2900187,2022-07-01,6.3,1.57
New York,New York-Newark-Jersey City,2900187,2022-06-01,6.0,1.37
New York,New York-Newark-Jersey City,2900187,2022-05-01,5.61,1.35
New York,New York-Newark-Jersey City,2900187,2022-04-01,5.46,1.36
New York,New York-Newark-Jersey City,2900187,2022-03-01,5.57,1.39
New York,New York-Newark-Jersey City,2900187,2022-02-01,5.22,1.44
New York,New York-Newark-Jersey City,2900187,2022-01-01,5.12,1.39
New York,New York-Newark-Jersey City,2900187,2021-12-01,5.15,1.36
New York,New York-Newark-Jersey City,2900187,2021-11-01,5.3,1.36
New York,New York-Newark-Jersey City,2900187,2021-10-01,5.13,1.31
New York,New York-Newark-Jersey City,2900187,2021-09-01,4.87,1.28
New York,New York-Newark-Jersey City,2900187,2021-08-01,5.14,1.22
New York,New York-Newark-Jersey City,2900187,2021-07-01,5.32,1.19
New York,New York-Newark-Jersey City,2900187,2021-06-01,4.97,1.16
New York,New York-Newark-Jersey City,2900187,2021-05-01,5.08,1.17
New York,New York-Newark-Jersey City,2900187,2021-04-01,4.8,1.09
New York,New York-Newark-Jersey City,2900187,2021-03-01,5.35,1.11
New York,New York-Newark-Jersey City,2900187,2021-02-01,5.76,1.11
New York,New York-Newark-Jersey City,2900187,2021-01-01,5.24,1.2
New York,New York-Newark-Jersey City,2900187,2020-12-01,5.52,1.18
New York,New York-Newark-Jersey City,2900187,2020-11-01,6.34,1.2
New York,New York-Newark-Jersey City,2900187,2020-10-01,5.37,1.46
New York,New York-Newark-Jersey City,2900187,2020-09-01,5.17,1.11
New York,New York-Newark-Jersey City,2900187,2020-08-01,5.91,1.11
New York,New York-Newark-Jersey City,2900187,2020-07-01,6.4,1.12
New York,New York-Newark-Jersey City,2900187,2020-06-01,6.43,1.05
New York,New York-Newark-Jersey City,2900187,2020-05-01,7.12,0.94
New York,New York-Newark-Jersey City,2900187,2020-04-01,7.2,0.93
New York,New York-Newark-Jersey City,2900187,2020-03-01,6.55,1.35
New York,New York-Newark-Jersey City,2900187,2020-02-01,6.64,1.39
New York,New York-Newark-Jersey City,2900187,2020-01-01,6.57,1.4
New York,New York-Newark-Jersey City,2900187,2019-12-01,7.85,1.27
New York,New York-Newark-Jersey City,2900187,2019-11-01,7.27,1.45
New York,New York-Newark-Jersey City,2900187,2019-10-01,6.76,1.35
New York,New York-Newark-Jersey City,2900187,2019-09-01,6.73,1.35
New York,New York-Newark-Jersey City,2900187,2019-08-01,7.84,1.36
New York,New York-Newark-Jersey City,2900187,2019-07-01,7.36,1.44
New York,New York-Newark-Jersey City,2900187,2019-06-01,7.26,1.37
New York,New York-Newark-Jersey City,2900187,2019-05-01,6.84,1.44
New York,New York-Newark-Jersey City,2900187,2019-04-01,6.99,1.44
New York,New York-Newark-Jersey City,2900187,2019-03-01,6.61,1.51
New York,New York-Newark-Jersey City,2900187,2019-02-01,6.01,1.57
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2024-01-01,4.21,0.4
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-12-01,4.53,0.48
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-11-01,4.42,0.41
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-10-01,4.37,0.43
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-09-01,4.24,0.56
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-08-01,4.43,0.42
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-07-01,4.35,0.42
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-06-01,4.29,0.39
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-05-01,4.57,0.38
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-04-01,4.4,0.4
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-03-01,4.53,0.41
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-02-01,4.39,0.38
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2023-01-01,4.64,0.45
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-12-01,4.87,0.47
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-11-01,4.56,0.43
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-10-01,4.67,0.42
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-09-01,4.81,0.43
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-08-01,4.81,0.4
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-07-01,4.8,0.43
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-06-01,4.67,0.43
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-05-01,4.54,0.38
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-04-01,4.67,0.38
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-03-01,4.5,0.34
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-02-01,4.55,0.35
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2022-01-01,4.52,0.34
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2021-12-01,4.84,0.36
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2021-11-01,4.86,0.31
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2021-10-01,4.67,0.3
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078,2021-09-01,4.85,0.29
